Gene ID,Input Order,Organism,Genomic Location (Gene),Product Description,Gene Type,Input ID,Interpro ID,Interpro Description,Protein Length,CDS Length,Transcript Product Description,Curated GO Processes,Curated GO Functions,Curated GO Components,Computed GO Processes,Computed GO Functions,Computed GO Components,PFam Description,PFam ID
CNAG_07641,196,Cryptococcus neoformans var. grubii H99,"CP003825.1:724,822..727,380(-)",Monosaccharide transporter,protein coding gene,CNAG_07641,IPR003663;IPR005828;IPR005829;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",590,1773,Monosaccharide transporter,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane,"Major facilitator,  sugar transporter-like",PF00083
CNAG_04337,197,Cryptococcus neoformans var. grubii H99,"CP003828.1:605,031..606,973(-)",cation diffusion facilitator,protein coding gene,CNAG_04337,IPR027469;IPR027470;IPR036837,"Cation efflux transmembrane domain superfamily;Cation efflux protein, cytoplasmic domain;Cation efflux protein, cytoplasmic domain superfamily",331,996,cation diffusion facilitator,N/A,N/A,N/A,N/A,N/A,integral component of membrane,"Cation efflux protein, cytoplasmic domain",PF16916
CNAG_07308,198,Cryptococcus neoformans var. grubii H99,"CP003820.1:126,370..128,697(-)",hypothetical protein,protein coding gene,CNAG_07308,IPR025337,Questin oxidase-like,545,1638,hypothetical protein,N/A,N/A,N/A,N/A,oxidoreductase activity,N/A,Questin oxidase-like,PF14027
CNAG_04103,199,Cryptococcus neoformans var. grubii H99,"CP003828.1:11,360..13,935(-)",hypothetical protein,protein coding gene,CNAG_04103,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,473,1422,hypothetical protein,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane,Major facilitator superfamily,PF07690
CNAG_01753,200,Cryptococcus neoformans var. grubii H99,"CP003830.1:795,218..796,541(+)","hypothetical protein, hypothetical protein, variant",protein coding gene,CNAG_01753,N/A,N/A,257,774,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_07704,201,Cryptococcus neoformans var. grubii H99,"CP003826.1:1,398,638..1,399,438(+)",hypothetical protein,protein coding gene,CNAG_07704,N/A,N/A,152,459,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04086,202,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,586,880..1,589,261(+)",hypothetical protein,protein coding gene,CNAG_04086,IPR021740;IPR037525,Velvet factor;Velvet domain,509,1530,hypothetical protein,N/A,N/A,N/A,N/A,N/A,nucleus,Velvet domain,PF11754
CNAG_04981,203,Cryptococcus neoformans var. grubii H99,"CP003823.1:139,071..141,901(+)",Catalase 1,protein coding gene,CNAG_04981,IPR002226;IPR010582;IPR011614;IPR018028;IPR020835;IPR024708;IPR024712;IPR029062;IPR041399,"Catalase haem-binding site;Catalase immune-responsive domain;Catalase core domain;Catalase, mono-functional, haem-containing;Catalase superfamily;Catalase active site;Catalase, mono-functional, haem-containing, clade 2;Class I glutamine amidotransferase-like;Large catalase, C-terminal domain",714,2145,Catalase 1,N/A,N/A,N/A,hydrogen peroxide catabolic process;obsolete oxidation-reduction process;response to oxidative stress,catalase activity;heme binding;metal ion binding,N/A,"Catalase core domain;Catalase immune-responsive domain;Large catalase, C-terminal domain",PF00199;PF06628;PF18011
CNAG_07659,204,Cryptococcus neoformans var. grubii H99,"CP003826.1:151,188..153,542(+)",hypothetical protein,protein coding gene,CNAG_07659,IPR001452;IPR036028,SH3 domain;SH3-like domain superfamily,398,1197,hypothetical protein,N/A,N/A,N/A,N/A,protein binding,integral component of membrane,N/A,N/A
CNAG_07799,205,Cryptococcus neoformans var. grubii H99,"CP003823.1:99,851..105,886(-)",ABC transporter,protein coding gene,CNAG_07799,IPR003439;IPR003593;IPR010929;IPR013525;IPR017871;IPR027417;IPR034001;IPR034003,"ABC transporter-like;AAA+ ATPase domain;CDR ABC transporter;ABC-2 type transporter;ABC transporter, conserved site;P-loop containing nucleoside triphosphate hydrolase;ATP-binding cassette transporter, PDR-like subfamily G, domain 1;ATP-binding cassette transporter, PDR-like subfamily G, domain 2",1462,4389,ABC transporter,cellular response to dithiothreitol,N/A,N/A,transmembrane transport,ATP binding;ATP hydrolysis activity;ATPase-coupled transmembrane transporter activity,integral component of membrane;membrane,ABC transporter-like;ABC-2 type transporter;CDR ABC transporter,PF00005;PF01061;PF06422;PF19055
CNAG_03010,206,Cryptococcus neoformans var. grubii H99,"CP003822.1:220,786..222,062(+)",enoyl-CoA hydratase/isomerase,protein coding gene,CNAG_03010,IPR001753;IPR018376;IPR029045,"Enoyl-CoA hydratase/isomerase;Enoyl-CoA hydratase/isomerase, conserved site;ClpP/crotonase-like domain superfamily",266,801,enoyl-CoA hydratase/isomerase,N/A,N/A,N/A,N/A,catalytic activity;isomerase activity,N/A,Enoyl-CoA hydratase/isomerase,PF00378
CNAG_07475,207,Cryptococcus neoformans var. grubii H99,"CP003821.1:603,059..604,316(-)",hypothetical protein,protein coding gene,CNAG_07475,N/A,N/A,208,627,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06583,208,Cryptococcus neoformans var. grubii H99,"CP003826.1:188,185..190,191(+)",hypothetical protein,protein coding gene,CNAG_06583,N/A,N/A,448,1347,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05392,209,Cryptococcus neoformans var. grubii H99,"CP003833.2:187,883..190,963(-)",specific RNA polymerase II transcription factor,protein coding gene,CNAG_05392,IPR013087;IPR036236,Zinc finger C2H2-type;Zinc finger C2H2 superfamily,710,2133,specific RNA polymerase II transcription factor,capsule organization;mating;melanin biosynthetic process,urease activity,N/A,N/A,N/A,N/A,Zinc finger C2H2-type,PF00096
CNAG_07766,210,Cryptococcus neoformans var. grubii H99,"CP003828.1:736,392..741,441(-)",DNA polymerase lambda subunit,protein coding gene,CNAG_07766,IPR001357;IPR002008;IPR002054;IPR010996;IPR018944;IPR022312;IPR027421;IPR028207;IPR029398;IPR036420;IPR043519,"BRCT domain;DNA polymerase family X, beta-like;DNA-directed DNA polymerase X;DNA polymerase beta-like, N-terminal domain;DNA polymerase lambda, fingers domain;DNA polymerase family X;DNA polymerase lambda lyase domain superfamily;DNA polymerase beta, palm domain;DNA polymerase beta, thumb domain;BRCT domain superfamily;Nucleotidyltransferase superfamily",943,2832,DNA polymerase lambda subunit,N/A,N/A,N/A,DNA repair,DNA binding;DNA polymerase activity;DNA-directed DNA polymerase activity,N/A,"DNA polymerase lambda, fingers domain;DNA polymerase beta-like, N-terminal domain;DNA polymerase beta, thumb domain;DNA polymerase beta, palm domain",PF10391;PF14716;PF14791;PF14792
CNAG_04142,211,Cryptococcus neoformans var. grubii H99,"CP003828.1:114,834..117,004(-)",tartrate transporter,protein coding gene,CNAG_04142,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,530,1593,tartrate transporter,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane,Major facilitator superfamily,PF07690
CNAG_03759,212,Cryptococcus neoformans var. grubii H99,"CP003821.1:725,659..726,580(-)",conidiation-specific protein 6,protein coding gene,CNAG_03759,IPR018824,Conidiation-specific protein 6,89,270,conidiation-specific protein 6,N/A,N/A,N/A,N/A,N/A,N/A,Conidiation-specific protein 6,PF10346
CNAG_03729,213,Cryptococcus neoformans var. grubii H99,"CP003821.1:643,488..646,798(+)","peroxin-5, peroxin-5, variant",protein coding gene,CNAG_03729,IPR011990;IPR019734;IPR024111,Tetratricopeptide-like helical domain superfamily;Tetratricopeptide repeat;Peroxisomal targeting signal 1 receptor family,799,2400,peroxin-5,N/A,N/A,N/A,N/A,protein binding,peroxisomal membrane,N/A,PF13432
CNAG_04027,214,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,437,443..1,438,814(-)",hypothetical protein,protein coding gene,CNAG_04027,N/A,N/A,286,861,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_07695,215,Cryptococcus neoformans var. grubii H99,"CP003826.1:1,323,168..1,326,508(-)",gamma-aminobutyric acid transporter,protein coding gene,CNAG_07695,IPR002293,Amino acid/polyamine transporter I,454,1365,gamma-aminobutyric acid transporter,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane,Amino acid/polyamine transporter I,PF13520
CNAG_02417,216,Cryptococcus neoformans var. grubii H99,"CP003825.1:376,483..379,826(+)",lipase/esterase,protein coding gene,CNAG_02417,IPR002168;IPR013094;IPR029058,"Lipase, GDXG, putative histidine active site;Alpha/beta hydrolase fold-3;Alpha/Beta hydrolase fold",867,2604,lipase/esterase,N/A,N/A,N/A,N/A,hydrolase activity,N/A,Alpha/beta hydrolase fold-3,PF07859
CNAG_03881,217,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,082,258..1,085,587(-)",hypothetical protein,protein coding gene,CNAG_03881,IPR001680;IPR011047;IPR019417,WD40 repeat;Quinoprotein alcohol dehydrogenase-like superfamily;Domain of unknown function DUF2415,770,2313,hypothetical protein,N/A,N/A,N/A,N/A,protein binding,N/A,Domain of unknown function DUF2415,PF10313
CNAG_02775,218,Cryptococcus neoformans var. grubii H99,"CP003822.1:792,791..794,067(-)",BCS-inducible membrane protein,protein coding gene,CNAG_02775,N/A,N/A,218,657,BCS-inducible membrane protein,cellular response to copper ion starvation;copper ion import,N/A,cell surface;extracellular region,N/A,metal ion binding;monooxygenase activity,anchored component of membrane;plasma membrane,N/A,N/A
CNAG_01525,219,Cryptococcus neoformans var. grubii H99,"CP003830.1:180,522..183,247(+)",hypothetical protein,protein coding gene,CNAG_01525,N/A,N/A,319,960,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,integral component of membrane,N/A,N/A
CNAG_01584,220,Cryptococcus neoformans var. grubii H99,"CP003830.1:357,020..358,891(-)",hydrolase,protein coding gene,CNAG_01584,IPR036866,Ribonuclease Z/Hydroxyacylglutathione hydrolase-like,321,966,hydrolase,N/A,N/A,N/A,N/A,hydrolase activity,N/A,N/A,N/A
CNAG_02226,221,Cryptococcus neoformans var. grubii H99,"CP003825.1:860,562..863,109(-)",hypothetical protein,protein coding gene,CNAG_02226,IPR002933;IPR011650;IPR017144;IPR017439;IPR036264,"Peptidase M20;Peptidase M20, dimerisation domain;Peptidase M20A, amidohydrolase, predicted;Amidohydrolase;Bacterial exopeptidase dimerisation domain",448,1347,hypothetical protein,N/A,N/A,N/A,N/A,hydrolase activity,N/A,"Peptidase M20;Peptidase M20, dimerisation domain",PF01546;PF07687
CNAG_07965,222,Cryptococcus neoformans var. grubii H99,"CP003821.1:777,690..782,342(-)",hypothetical protein,protein coding gene,CNAG_07965,IPR000683;IPR013944;IPR036291,"Oxidoreductase, N-terminal;Oxidoreductase putative, C-terminal;NAD(P)-binding domain superfamily",475,1428,hypothetical protein,N/A,N/A,N/A,N/A,oxidoreductase activity,N/A,"Oxidoreductase, N-terminal;Oxidoreductase putative, C-terminal",PF01408;PF08635
CNAG_02005,223,Cryptococcus neoformans var. grubii H99,"CP003830.1:1,511,404..1,513,178(-)",hypothetical protein,protein coding gene,CNAG_02005,N/A,N/A,446,1341,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04345,224,Cryptococcus neoformans var. grubii H99,"CP003828.1:627,984..631,641(-)",specific RNA polymerase II transcription factor,protein coding gene,CNAG_04345,IPR001138;IPR007219;IPR036864,"Zn(2)-C6 fungal-type DNA-binding domain;Transcription factor domain, fungi;Zn(2)-C6 fungal-type DNA-binding domain superfamily",952,2859,specific RNA polymerase II transcription factor,response to salt stress,N/A,N/A,"regulation of transcription, DNA-templated;transcription, DNA-templated","DNA binding;DNA-binding transcription factor activity, RNA polymerase II-specific;zinc ion binding",host cell nucleus;nucleus,Zn(2)-C6 fungal-type DNA-binding domain,PF00172
CNAG_02733,225,Cryptococcus neoformans var. grubii H99,"CP003822.1:880,329..882,985(+)",Monosaccharide transporter,protein coding gene,CNAG_02733,IPR003663;IPR005828;IPR005829;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",595,1788,Monosaccharide transporter,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane,"Major facilitator,  sugar transporter-like",PF00083
CNAG_04744,226,Cryptococcus neoformans var. grubii H99,"CP003829.1:520,294..522,012(+)","mannose-6-phosphate isomerase, class I",protein coding gene,CNAG_04744,IPR001250;IPR011051;IPR016305,"Mannose-6-phosphate isomerase, type I;RmlC-like cupin domain superfamily;Mannose-6-phosphate isomerase",456,1371,"mannose-6-phosphate isomerase, class I",N/A,N/A,N/A,GDP-mannose biosynthetic process;carbohydrate metabolic process,mannose-6-phosphate isomerase activity;zinc ion binding,N/A,"Mannose-6-phosphate isomerase, type I",PF01238
CNAG_03059,227,Cryptococcus neoformans var. grubii H99,"CP003822.1:94,045..98,324(-)",hypothetical protein,protein coding gene,CNAG_03059,IPR001138;IPR007219;IPR013087;IPR036864,"Zn(2)-C6 fungal-type DNA-binding domain;Transcription factor domain, fungi;Zinc finger C2H2-type;Zn(2)-C6 fungal-type DNA-binding domain superfamily",1005,3018,hypothetical protein,adhesion of symbiont to host endothelial cell;entry into host,N/A,N/A,"regulation of transcription, DNA-templated;transcription, DNA-templated","DNA binding;DNA-binding transcription factor activity, RNA polymerase II-specific;zinc ion binding",host cell nucleus;nucleus,N/A,N/A
CNAG_00933,228,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,597,791..1,598,781(-)",hypothetical protein,protein coding gene,CNAG_00933,IPR009097;IPR012386,"Cyclic phosphodiesterase;2',3'-cyclic-nucleotide 3'-phosphodiesterase",240,723,hypothetical protein,N/A,N/A,N/A,N/A,cyclic-nucleotide phosphodiesterase activity,N/A,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",PF07823
CNAG_05003,229,Cryptococcus neoformans var. grubii H99,"CP003823.1:197,475..199,683(-)",hypothetical protein,protein coding gene,CNAG_05003,N/A,N/A,456,1371,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane,N/A,N/A
CNAG_02362,230,Cryptococcus neoformans var. grubii H99,"CP003825.1:515,146..517,261(+)",hypothetical protein,protein coding gene,CNAG_02362,IPR017945,DHBP synthase RibB-like alpha/beta domain superfamily,346,1041,hypothetical protein,N/A,N/A,N/A,N/A,double-stranded RNA binding,N/A,N/A,N/A
CNAG_03519,231,Cryptococcus neoformans var. grubii H99,"CP003827.1:1,173,522..1,176,609(+)","cytoplasmic protein, cytoplasmic protein, variant 1, cytoplasmic protein, variant 2",protein coding gene,CNAG_03519,IPR002830;IPR032903,UbiD decarboxylyase family;UbiD-like decarboxylase/ferulic acid decarboxylase 1,447,1344,cytoplasmic protein,N/A,N/A,N/A,cinnamic acid catabolic process;ferulate metabolic process,carboxy-lyase activity;metal ion binding,cytoplasm,UbiD decarboxylyase family,PF01977
CNAG_00745,232,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,952,991..1,957,457(+)",HAL protein kinase,protein coding gene,CNAG_00745,IPR000719;IPR008271;IPR011009;IPR017441,"Protein kinase domain;Serine/threonine-protein kinase, active site;Protein kinase-like domain superfamily;Protein kinase, ATP binding site",956,2871,HAL protein kinase,cellular response to antibiotic;cellular response to diamide;cellular response to dithiothreitol;cellular response to menadione;cellular response to salt stress;cellular response to sodium dodecyl sulfate;cellular response to tunicamycin;mating;positive regulation of melanin biosynthetic process;pos,N/A,N/A,protein phosphorylation,ATP binding;protein kinase activity,N/A,Protein kinase domain,PF00069
CNAG_02079,233,Cryptococcus neoformans var. grubii H99,"CP003825.1:1,254,020..1,259,026(-)",cytoplasmic protein,protein coding gene,CNAG_02079,IPR004888;IPR008928;IPR031335,"Glycoside hydrolase family 63;Six-hairpin glycosidase superfamily;Glycosyl hydrolase family 63, C-terminal",1147,3444,cytoplasmic protein,N/A,N/A,N/A,oligosaccharide metabolic process,Glc3Man9GlcNAc2 oligosaccharide glucosidase activity;catalytic activity,N/A,"Glycosyl hydrolase family 63, C-terminal",PF03200
CNAG_02892,234,Cryptococcus neoformans var. grubii H99,"CP003822.1:515,402..517,802(+)","phosphatidylinositol glycan, class B",protein coding gene,CNAG_02892,IPR005599;IPR039521,GPI mannosyltransferase;GPI mannosyltransferase 3,658,1977,"phosphatidylinositol glycan, class B",N/A,N/A,N/A,GPI anchor biosynthetic process,"alpha-1,2-mannosyltransferase activity;glycolipid mannosyltransferase activity;glycosyltransferase activity",endoplasmic reticulum membrane;integral component of membrane,GPI mannosyltransferase,PF03901
CNAG_03872,235,Cryptococcus neoformans var. grubii H99,"CP003821.1:1,053,679..1,057,267(-)",putative ubiquitin carboxyl-terminal hydrolase,protein coding gene,CNAG_03872,IPR001394;IPR018200;IPR038765,"Peptidase C19, ubiquitin carboxyl-terminal hydrolase;Ubiquitin specific protease, conserved site;Papain-like cysteine peptidase superfamily",955,2868,putative ubiquitin carboxyl-terminal hydrolase,N/A,N/A,N/A,protein deubiquitination;ubiquitin-dependent protein catabolic process,N/A,N/A,"Peptidase C19, ubiquitin carboxyl-terminal hydrolase",PF00443
CNAG_07316,236,Cryptococcus neoformans var. grubii H99,"CP003820.1:533,330..535,616(-)",hydroxyacid-oxoacid transhydrogenase,protein coding gene,CNAG_07316,IPR001670;IPR039697,"Alcohol dehydrogenase, iron-type/glycerol dehydrogenase GldA;Iron-type alcohol dehydrogenase-like",519,1560,hydroxyacid-oxoacid transhydrogenase,N/A,N/A,N/A,obsolete oxidation-reduction process,metal ion binding;oxidoreductase activity,N/A,"Alcohol dehydrogenase, iron-type/glycerol dehydrogenase GldA",PF00465
CNAG_07319,237,Cryptococcus neoformans var. grubii H99,"CP003820.1:541,192..542,218(-)",hypothetical protein,protein coding gene,CNAG_07319,N/A,N/A,217,654,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane,N/A,N/A
CNAG_03046,238,Cryptococcus neoformans var. grubii H99,"CP003822.1:127,464..129,778(+)",hypothetical protein,protein coding gene,CNAG_03046,IPR026610;IPR029063,"3'-RNA ribose 2'-O-methyltransferase, Hen1;S-adenosyl-L-methionine-dependent methyltransferase",476,1431,hypothetical protein,N/A,N/A,N/A,RNA methylation,O-methyltransferase activity;RNA methyltransferase activity,N/A,N/A,N/A
CNAG_01686,239,Cryptococcus neoformans var. grubii H99,"CP003830.1:609,245..611,097(-)",hypothetical protein,protein coding gene,CNAG_01686,IPR002818;IPR029062,DJ-1/PfpI;Class I glutamine amidotransferase-like,233,702,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,DJ-1/PfpI,PF01965
CNAG_02188,240,Cryptococcus neoformans var. grubii H99,"CP003825.1:955,237..956,983(+)",hypothetical protein,protein coding gene,CNAG_02188,N/A,N/A,252,759,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03060,241,Cryptococcus neoformans var. grubii H99,"CP003822.1:90,347..93,365(-)",multiple drug resistance protein,protein coding gene,CNAG_03060,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,638,1917,multiple drug resistance protein,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane,Major facilitator superfamily,PF07690
CNAG_07334,242,Cryptococcus neoformans var. grubii H99,"CP003820.1:580,183..582,875(-)",ferric-chelate reductase,protein coding gene,CNAG_07334,IPR000778;IPR013112;IPR013121;IPR013130;IPR039261,"Cytochrome b245, heavy chain;FAD-binding 8;Ferric reductase, NAD binding domain;Ferric reductase transmembrane component-like domain;Ferredoxin-NADP reductase (FNR), nucleotide-binding domain",656,1971,ferric-chelate reductase,N/A,N/A,N/A,ion transport;obsolete oxidation-reduction process,oxidoreductase activity,integral component of membrane;membrane,"Ferric reductase transmembrane component-like domain;FAD-binding 8;Ferric reductase, NAD binding domain",PF01794;PF08022;PF08030
CNAG_00497,243,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,270,889..1,274,210(-)",hypothetical protein,protein coding gene,CNAG_00497,IPR007632,Anoctamin,815,2448,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane,Anoctamin,PF04547
CNAG_03040,244,Cryptococcus neoformans var. grubii H99,"CP003822.1:136,116..139,321(-)","transketolase, transketolase, variant",protein coding gene,CNAG_03040,IPR005474;IPR005475;IPR009014;IPR029061;IPR033248,"Transketolase, N-terminal;Transketolase-like, pyrimidine-binding domain;Transketolase C-terminal/Pyruvate-ferredoxin oxidoreductase domain II;Thiamin diphosphate-binding fold;Transketolase, C-terminal domain",646,1941,"transketolase, variant",N/A,N/A,N/A,N/A,catalytic activity;metal ion binding;transferase activity,N/A,"Transketolase, N-terminal;Transketolase-like, pyrimidine-binding domain;Transketolase, C-terminal domain",PF00456;PF02779;PF02780
CNAG_07745,245,Cryptococcus neoformans var. grubii H99,"CP003827.1:1,219,423..1,221,679(+)","alcohol dehydrogenase, propanol-preferring",protein coding gene,CNAG_07745,IPR011032;IPR013149;IPR013154;IPR020843;IPR036291,"GroES-like superfamily;Alcohol dehydrogenase, C-terminal;Alcohol dehydrogenase, N-terminal;Polyketide synthase, enoylreductase domain;NAD(P)-binding domain superfamily",422,1269,"alcohol dehydrogenase, propanol-preferring",N/A,N/A,N/A,obsolete oxidation-reduction process,oxidoreductase activity,N/A,"Alcohol dehydrogenase, C-terminal;Alcohol dehydrogenase, N-terminal",PF00107;PF08240
CNAG_04626,246,Cryptococcus neoformans var. grubii H99,"CP003829.1:843,440..847,962(-)",hypothetical protein,protein coding gene,CNAG_04626,N/A,N/A,1179,3540,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01925,247,Cryptococcus neoformans var. grubii H99,"CP003830.1:1,278,718..1,281,012(-)",hypothetical protein,protein coding gene,CNAG_01925,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,532,1599,hypothetical protein,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane,Major facilitator superfamily,PF07690
CNAG_05990,248,Cryptococcus neoformans var. grubii H99,"CP003831.1:19,896..22,256(-)",hypothetical protein,protein coding gene,CNAG_05990,IPR001138;IPR036864,Zn(2)-C6 fungal-type DNA-binding domain;Zn(2)-C6 fungal-type DNA-binding domain superfamily,595,1788,hypothetical protein,N/A,N/A,N/A,"regulation of transcription, DNA-templated","DNA-binding transcription factor activity, RNA polymerase II-specific;zinc ion binding",host cell nucleus,N/A,N/A
CNAG_02764,249,Cryptococcus neoformans var. grubii H99,"CP003822.1:819,619..823,415(+)","ATP-binding cassette, subfamily D (ALD), peroxisomal long-chain fatty acid import protein",protein coding gene,CNAG_02764,IPR003439;IPR003593;IPR011527;IPR017871;IPR027417;IPR031238,"ABC transporter-like;AAA+ ATPase domain;ABC transporter type 1, transmembrane domain;ABC transporter, conserved site;P-loop containing nucleoside triphosphate hydrolase;Peroxisomal long-chain fatty acid import protein 1",725,2178,"ATP-binding cassette, subfamily D (ALD), peroxisomal long-chain fatty acid import protein",N/A,N/A,N/A,fatty acid transmembrane transport;transmembrane transport,ATP binding;ATP hydrolysis activity;ATPase-coupled transmembrane transporter activity,integral component of membrane;integral component of peroxisomal membrane,"ABC transporter-like;ABC transporter type 1, transmembrane domain",PF00005;PF06472
CNAG_07856,250,Cryptococcus neoformans var. grubii H99,"CP003829.1:698,586..701,511(-)","Arylsulfotransferase, putative",protein coding gene,CNAG_07856,IPR011047;IPR039535,Quinoprotein alcohol dehydrogenase-like superfamily;Arylsulfotransferase-like,568,1707,"Arylsulfotransferase, putative",detection of light stimulus,N/A,N/A,N/A,N/A,N/A,Arylsulfotransferase-like,PF14269
CNAG_03771,251,Cryptococcus neoformans var. grubii H99,"CP003821.1:768,081..772,292(+)","DNA binding protein Ncp1, DNA binding protein Ncp1, variant",protein coding gene,CNAG_03771,N/A,N/A,572,1719,DNA binding protein Ncp1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06172,252,Cryptococcus neoformans var. grubii H99,"CP003831.1:508,903..511,478(-)",transketolase,protein coding gene,CNAG_06172,IPR005474;IPR005475;IPR005478;IPR009014;IPR029061;IPR033247;IPR033248,"Transketolase, N-terminal;Transketolase-like, pyrimidine-binding domain;Transketolase, bacterial-like;Transketolase C-terminal/Pyruvate-ferredoxin oxidoreductase domain II;Thiamin diphosphate-binding fold;Transketolase family;Transketolase, C-terminal domain",724,2175,transketolase,N/A,N/A,N/A,N/A,catalytic activity;metal ion binding;transketolase activity,N/A,"Transketolase, N-terminal;Transketolase-like, pyrimidine-binding domain;Transketolase, C-terminal domain",PF00456;PF02779;PF02780
CNAG_07775,253,Cryptococcus neoformans var. grubii H99,"CP003828.1:995,304..996,732(-)",hypothetical protein,protein coding gene,CNAG_07775,IPR013897,Protein of unknown function DUF1769,332,999,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,Protein of unknown function DUF1769,PF08588
CNAG_02102,254,Cryptococcus neoformans var. grubii H99,"CP003825.1:1,184,094..1,186,607(+)",hypothetical protein,protein coding gene,CNAG_02102,N/A,N/A,606,1821,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04947,255,Cryptococcus neoformans var. grubii H99,"CP003823.1:52,519..55,256(+)","high-affinity nicotinic acid transporter, high-affinity nicotinic acid transporter, variant 2, high-affinity nicotinic acid transporter, variant 1",protein coding gene,CNAG_04947,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,355,1068,high-affinity nicotinic acid transporter,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane,Major facilitator superfamily,PF07690
CNAG_01112,256,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,181,430..1,183,184(+)",xenobiotic reductase,protein coding gene,CNAG_01112,IPR001155,"NADH:flavin oxidoreductase/NADH oxidase, N-terminal",383,1152,xenobiotic reductase,N/A,N/A,N/A,obsolete oxidation-reduction process,FMN binding;catalytic activity;oxidoreductase activity,N/A,"NADH:flavin oxidoreductase/NADH oxidase, N-terminal",PF00724
CNAG_03705,257,Cryptococcus neoformans var. grubii H99,"CP003821.1:577,592..579,016(+)",hypothetical protein,protein coding gene,CNAG_03705,N/A,N/A,244,735,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05410,258,Cryptococcus neoformans var. grubii H99,"CP003833.2:236,102..238,227(-)",hypothetical protein,protein coding gene,CNAG_05410,IPR018618,Vacuolar import/degradation protein Vid24,490,1473,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,Vacuolar import/degradation protein Vid24,PF09783
CNAG_03667,259,Cryptococcus neoformans var. grubii H99,"CP003821.1:484,876..486,098(-)",hypothetical protein,protein coding gene,CNAG_03667,N/A,N/A,138,417,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_02542,260,Cryptococcus neoformans var. grubii H99,"CP003825.1:41,507..43,077(-)",fructosamine kinase,protein coding gene,CNAG_02542,IPR011009;IPR016477,Protein kinase-like domain superfamily;Fructosamine/Ketosamine-3-kinase,303,912,fructosamine kinase,adhesion of symbiont to host endothelial cell;entry into host;regulation of urease activity,N/A,N/A,N/A,kinase activity;protein-ribulosamine 3-kinase activity,N/A,Fructosamine/Ketosamine-3-kinase,PF03881
CNAG_02493,261,Cryptococcus neoformans var. grubii H99,"CP003825.1:168,317..170,088(-)",hypothetical protein,protein coding gene,CNAG_02493,IPR007568,RTA-like protein,305,918,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane,RTA-like protein,PF04479
